"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POL","Poland","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,32,,
"LUX","Luxembourg","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,45.78,,
"ISR","Israel","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,50,,
"BEL","Belgium","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,52.9341,,
"GBR","United Kingdom","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,45,,
"JPN","Japan","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,55.945,,
"GRC","Greece","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,55,,
"CZE","Czech Republic","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,15,,
"ITA","Italy","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,47.23,,
"SVN","Slovenia","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,50,,
"SWE","Sweden","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,57.12,,
"ISL","Iceland","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,46.24,,
"LVA","Latvia","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,31.4,,
"SVK","Slovak Republic","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,25,,
"FIN","Finland","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,51.11,,
"NLD","Netherlands","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,51.95,,
"AUT","Austria","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,55,,
"TUR","Turkey","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,35.76,,
"HUN","Hungary","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,15,,
"PRT","Portugal","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,53,,
"DEU","Germany","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,47.475,,
"CHL","Chile","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,35,,
"CAN","Canada","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,53.5296,,
"NOR","Norway","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,38.4,,
"USA","United States","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,43.65,,
"KOR","Korea","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,46.199991,,
"ESP","Spain","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,43.5,,
"FRA","France","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,55.368,,
"NZL","New Zealand","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,33,,
"DNK","Denmark","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,55.8584,,
"MEX","Mexico","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,35,,
"AUS","Australia","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,47,,
"LTU","Lithuania","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,15,,
"CHE","Switzerland","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,41.67,,
"EST","Estonia","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,20,,
"IRL","Ireland","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,48,,
